Year,Quarter,Date,FirstDay,Event,Type,Location,OriginalCost,NormCost2011,NormCost2014
1997,3,25-Sep,1997-09-25,Coromandel Floods,Flood,Coromandel,0.5,0.7,0.73
1997,2,24-May,1997-05-24,Auckland Floods,Flood,Auckland,3.7,5.22,5.42
1997,1,21-Jan,1997-01-21,South Island Storms,Storm,South Island,1.1,1.55,1.61
1997,4,19-Dec,1997-12-19,South Island Windstorms,Storm,South Island,0.2,0.28,0.29
1997,4,13-Nov,1997-11-13,Southland , Otago Wind , Hail,Hailstorm,Southland , Otago,0.4,0.56,0.58
1997,1,11-Jan,1997-01-11,Cyclone Dreena,Cyclone,NA,3.2,4.5,4.69
1997,2,3-Jun,1997-06-03,Wairoa Floods,Flood,Wairoa,0.5,0.71,0.73
1997,4,1-Dec,1997-12-01,North , South Island Windstorms,Storm,North , South Island,2.9,4.05,4.2
1996,4,30-Dec,1996-12-30,Cyclone Fergus,Cyclone,NA,1.6,2.25,2.34
1996,3,3-Jul,1996-07-03,Weather related losses June , July,Weather,NA,8.1,11.55,11.93
1996,4,1-Dec,1996-12-01,Weather related losses,Weather,NA,2.1,2.96,3.07
1995,1,NA,NA,Whangarei , District Floods,Flood,Whangarei , District,1.7,2.47,2.59
1995,2,25-Apr,1995-04-25,New Plymouth Floods,Flood,New Plymouth,3.6,5.27,5.44
1995,3,18-Jul,1995-07-18,Thames , Kaiaua Floods,Flood,Thames , Kaiaua,2.8,4.07,4.22
1995,3,2-Jul,1995-07-02,North , South Island Floods,Flood,North , South Island,4.5,6.54,6.79
1994,1,NA,NA,Hastings Hailstorm,Hailstorm,Hastings,10.8,16.43,17.13
1994,1,19-Feb,1994-02-19,South Canterbury Floods,Flood,South Canterbury,1.5,2.29,2.38
1994,4,1-Nov,1994-11-01,North , South Storm , Floods,Flood, Storm,North , South,6,8.98,9.26
1993,4,24-Dec,1993-12-24,Kaikoura Flood,Flood,Kaikoura,7.6,11.61,12.06
1992,1,NA,NA,Auckland Tornado,Tornado,Auckland,1.1,1.71,1.78
1992,3,28-Aug,1992-08-28,Canterbury Snowstorm,Storm,Canterbury,7,10.88,11.29
1991,1,NA,NA,Albany Tornado,Tornado,Albany,1.5,2.36,2.45
1991,1,18-Feb,1991-02-18,Otago Floods,Flood,Otago,1.6,2.53,2.62
1990,3,8-Aug,1990-08-08,Taranaki , Wanganui Floods,Flood,Taranaki , Wanganui,1.8,2.9,2.99
1988,3,25-Jul,1988-07-25,Manawatu Floods,Flood,Manawatu,2.5,4.53,4.68
1988,1,8-Mar,1988-03-08,Cyclone Bola,Cyclone,NA,37,68.08,70.41
1988,3,1-Sep,1988-09-01,Greymouth Floods,Flood,Greymouth,13.4,24.21,25.08
1988,2,1-May,1988-05-01,Greymouth Floods,Flood,Greymouth,3.2,5.85,6.04
1987,1,NA,NA,Bay of Plenty Earthquake,Earthquake,Bay of Plenty,192,371.12,398.17
1986,1,NA,NA,Auckland Floods,Flood,Auckland,0.4,0.92,0.98
1986,1,NA,NA,Nelson Floods,Flood,Nelson,0.4,0.92,0.98
1986,1,13-Mar,1986-03-13,North Otago , South Canterbury Floods,Flood,North Otago , South Canterbury,18.5,43.88,45.38
1985,1,NA,NA,Thames , Coromandel , Te Aroha,Other,Thames , Coromandel , Te Aroha,5.9,14.98,16.35
1985,1,NA,NA,Wellington , Hutt Valley,Other,Wellington , Hutt Valley,1.4,3.55,3.88
1985,1,NA,NA,Auckland Floods,Flood,Auckland,3.6,9.14,9.98
1985,1,NA,NA,Chatham Islands,Other,Chatham,0.8,2.03,2.22
1985,1,NA,NA,Gisborne Floods,Flood,Gisborne,1.7,4.32,4.71
1985,1,NA,NA,Hawkes Bay , Wairarapa,Other,Hawkes Bay , Wairarapa,0.9,2.28,2.49
1985,2,1-May,1985-05-01,South Auckland,Other,South Auckland,2.9,7.6,7.65
1984,1,NA,NA,Greymouth Floods,Flood,Greymouth,3.5,10.36,11
1984,1,NA,NA,Auckland Floods,Flood,Auckland,1.8,5.33,5.66
1984,1,1-Jan,1984-01-01,Invercargill , Southland Floods,Flood,Invercargill , Southland,45.8,139.51,143.93
1983,1,NA,NA,Christchurch Storm,Storm,Christchurch,3.5,10.85,11.38
1983,1,NA,NA,Marlborough , Golden Bay Floods,Flood,Marlborough , Golden Bay,2.3,7.13,7.48
1981,1,1-Mar,1981-03-01,Keri Keri Floods,Flood,Keri Keri,2,8.25,8.48
1981,2,1-Apr,1981-04-01,Thames , Coromandel , Paeroa Floods,Flood,Thames , Coromandel , Paeroa,7,28.57,28.56
1980,1,17-Jan,1980-01-17,South Island Summer Floods,Flood,South Island,2.3,11.16,11.24
1980,2,5-Jun,1980-06-05,Taieri , Otago , New Plymouth Floods,Flood,Taieri , Otago , New Plymouth,8,36.55,37.56
1980,3,1Aug,1980-08-01,Onehunga Tornado,Tornado,Onehunga,1,4.46,4.53
1978,4,16-Oct,1978-10-16,Otago Floods,Flood,Otago,10.3,59.94,60.96
1976,1,NA,NA,Wellington , Hutt Valley Floods,Flood,Wellington , Hutt Valley,6.2,47.55,51.61
1975,3,1-Aug,1975-08-01,Canterbury Storms,Storm,Canterbury,7,62.41,63.35
1968,1,10-Apr,1968-03-10,Wahine storm,Storm,Wahine,3.5,57.4,59.72
1968,1,10-Apr,1968-03-10,Loss of Wahine,Other,Wahine,10,164,170.62
