Year,Quarter,Event,Location,OriginalCost,NormCost2011,NormCost2014
1991,1,Hail,Adelaide,30.0,112.0,120.08
1991,1,Hail,Orbost,12.0,32.0,34.309
1991,2,"Flood, Storm",SE NSW,15.0,57.0,61.112
1991,4,Bushfire,Central Coast,12.0,54.0,57.896
1991,4,Flood,"Melbourne , Ballarat",24.0,90.0,96.493
1992,1,"Flood, Storm",Perth,4.0,22.0,23.587
1992,1,Hail,Sydney,118.0,441.0,472.816
1993,4,Flood,"Benalla , Shepparton",12.0,44.0,47.174
1993,4,Storm,Melbourne,12.0,44.0,47.174
1994,1,Bushfire,Eastern Seaboard,59.1,215.0,230.511
1994,2,Storm,Perth,37.0,187.0,200.491
1994,3,Earthquake,Cessnock,37.2,115.0,123.297
1994,4,Storm,Sydney,29.0,100.0,107.214
1995,1,Cyclone Bobby,Kalgoolie,11.0,48.0,51.463
1995,4,Hail,SE QLD,40.0,166.0,177.976
1996,1,Storm,Sydney,14.0,43.0,46.102
1996,2,Cyclone Olivia,Pannawonica,2.0,6.0,6.433
1996,2,Flood,SE QLD,31.0,134.0,143.667
1996,3,Storm,Sydney,10.0,30.0,32.164
1996,3,Hail,"Armidale , Tamworth",104.0,288.0,308.778
1996,4,Hail,Tamworth,10.0,28.0,30.02
1996,4,Storm,Coffs Harbour,20.0,67.0,71.834
1996,4,Storm,Brisbane,4.0,4.0,4.289
1996,4,Hail,Singleton,49.0,149.0,159.749
1997,1,Bushfire,Ferny Creek,10.0,29.0,31.092
1997,1,Cyclone Justin,Cairns,8.0,27.0,28.948
1997,1,Hail,SE,10.0,41.0,43.958
1997,4,Storm,Grafton,5.0,13.0,13.938
1997,4,Storm,Sydney,40.0,113.0,121.152
1997,4,Bushfire,Menai,3.0,8.0,8.577
1998,1,Storm,Nyngan,12.0,27.0,28.948
1998,1,"Flood, Storm",Townsville,71.0,245.0,262.675
1998,1,Flood,Katherine,70.0,201.0,215.501
1998,1,Storm,Sydney,12.0,34.0,36.453
1998,2,"Flood, Storm",Sydney,10.0,28.0,30.02
1998,2,Storm,Hunter Valley,12.0,39.0,41.814
1998,2,Flood,East Gippsland,1.3,3.0,3.216
1998,3,Storm,Sydney,10.0,25.0,26.804
1998,3,"Flood, Storm",Wollongong,40.0,97.0,103.998
1998,4,Storm,SEQLD,23.0,80.0,85.772
1998,4,Storm,Brisbane,7.0,23.0,24.659
1998,4,Hail,Brisbane,76.0,254.0,272.325
1998,4,"Flood, Storm",Melbourne,10.0,25.0,26.804
1999,1,"Flood, Storm",SE QLD,2.0,7.0,7.505
1999,1,Cyclone Rona,Nth QLD,4.0,14.0,15.01
1999,1,Flood,Moora,4.0,12.0,12.866
1999,1,Cyclone Vance,"Exmouth, Onslow",35.0,108.0,115.792
1999,2,Hail,Sydney,1700.0,4296.0,4605.932
1999,4,"Flood, Storm",Wollongong,5.0,11.0,11.794
1999,4,Storm,Sydney,40.0,89.0,95.421
1999,4,"Flood, Storm",Unknown,10.0,23.0,24.659
2000,1,"Flood, Storm",Perth,5.0,15.0,16.082
2000,1,"Flood, Storm",Longreach,12.0,30.0,32.164
2000,1,Cyclone Steve,Far Nth,11.0,31.0,33.236
2000,1,Cyclone George,Nth WA,5.0,14.0,15.01
2000,2,Cyclone Tessi,Nth QLD,15.0,41.0,43.958
2000,2,Cyclone Paul,Nth WA,8.5,28.0,30.02
2000,3,Storm,Vic Peninsula,2.0,4.0,4.289
2000,4,Flood,Mackay,5.0,13.0,13.938
2001,1,Storm,Dubbo,15.0,28.0,30.02
2001,1,Storm,Sydney,12.0,24.0,25.731
2001,1,Storm,Casino,35.0,65.0,69.689
2001,1,"Flood, Storm","Nth Coast, Grafton, Kempsey",25.0,45.0,48.246
2001,1,"Flood, Storm",Brisbane,37.0,99.0,106.142
2001,4,"Storm, Tornado","Sydney , Port Stephens",30.0,57.0,61.112
2001,4,Bushfire,"Sydney , Surrounds",69.0,131.0,140.451
2001,4,Storm,"Sydney , Coast",30.0,57.0,61.112
2002,1,Storm,Coastal Border,10.0,36.0,38.597
2002,1,Storm,Sydney,10.0,19.0,20.371
2002,4,Bushfire,"Engadine , Glenorie",25.0,43.0,46.102
2002,4,Storm,South East,3.4,8.0,8.577
2002,4,Storm,South East,2.0,4.0,4.289
2003,1,Bushfire,Eastern Border Region,12.0,24.0,25.731
2003,1,Bushfire,Canberra,350.0,660.0,707.615
2003,3,Storm,Unknown,25.0,39.0,41.814
2003,4,Hail,Melbourne,100.0,156.0,167.255
2004,1,Hail,"Brisbane, SE, SW",28.5,54.0,57.896
2004,1,Storm,Melbourne,18.0,28.0,30.02
2004,4,Storm,"Brisbane, Gold Coast",3.5,6.0,6.433
2004,4,"Hail, Storm","Sydney , Lismore",32.3,46.0,49.319
2004,4,Tsunami,South East Asia,3.0,3.0,3.216
2005,1,Bushfire,Eyre Peninsula,27.7,41.0,43.958
2005,1,"Hail, Storm",Eastern Seaboard,216.7,304.0,325.932
2005,2,Storm,"Bunbury, South Perth",53.2,108.0,115.792
2005,2,Hail,Brisbane,17.6,28.0,30.02
2005,2,"Flood, Storm",NE NSW,25.0,37.0,39.669
2005,2,"Flood, Storm",SE QLD,53.9,93.0,99.709
2005,4,Hail,Gold Coast,61.0,89.0,95.421
2005,4,"Flood, Storm",Broken Hill,4.0,5.0,5.361
2005,4,"Flood, Storm",Central West NSW,3.0,4.0,4.289
2005,4,Storm,Hunter Valley,10.0,36.0,38.597
2006,1,Bushfire,"North, West , East VIC",22.4,28.0,30.02
2006,1,Bushfire,Widespread,14.0,16.0,17.154
2006,1,Cyclone Larry,Larry - North QLD,540.0,609.0,652.936
2006,3,Storm,South West WA,5.2,9.0,9.649
2006,4,Hail,"Newcastle , Lower Hunter Valley",51.0,60.0,64.329
2007,1,Severe Storm,Nyngan NSW,2.0,2.0,2.144
2007,1,Severe Storm,Wagga Wagga NSW,4.0,5.0,5.361
2007,1,"Cyclone George , Jacob","George , Jacob - Pilbara WA",8.0,12.0,12.866
2007,2,Severe Storm,"Newcastle , Hunter Valley",1480.0,1742.0,1867.675
2007,2,Severe Storm,Gippsland VIC,15.0,18.0,19.299
2007,4,Hail Storm,Lismore Region,97.0,109.0,116.864
2007,4,Severe Storms,Lismore Region,4.0,5.0,5.361
2007,4,Severe Hailstorms,"Western Sydney, Blacktown",415.0,486.0,521.062
2008,1,Flood Storm,Northern Rivers,15.0,17.0,18.226
2008,1,Flood Storms,Emerald,70.0,85.0,91.132
2008,1,Flood Storm,Mackay,410.0,507.0,543.577
2008,2,Wind Storm,"SA, TAS , VIC",65.0,79.0,84.699
2008,2,"Gas Supply Disruption Varanus Isl,",Western Australia,230.0,279.0,299.128
2008,4,Brisbane storms,Brisbane,309.0,355.0,380.611
2009,1,Floods,Far North Queensland,19.0,22.0,23.587
2009,1,Victorian fires,VIC,1070.0,1266.0,1357.335
2009,2,Flooding,Northern NSW,37.0,40.0,42.886
2009,2,"Inundation , Storm Damage","South East Queensland , Northern NSW",48.0,55.0,58.968
2009,4,Toodyay Bushfires,Toodyay WA,7.4,8.0,8.577
2010,1,West QLD flooding,QLD,46.7,49.0,52.535
2010,1,Melbourne Storm,Melbourne,1044.0,1160.0,1243.687
2010,1,Perth Storm,Perth,1053.0,1019.0,1092.515
2010,4,Flooding,"QLD, Rural Toowoomba, Lockyer Valley",2387.624,2387.624,2636.489
2011,1,Flooding,VIC,126.495,126.495,137.69
2011,1,Cyclone Yasi,QLD,1412.239,1412.239,1537.229
2011,1,Severe Storms,Melbourne and suburbs,487.615,487.615,530.771
2011,1,Perth Bushfires,Perth and surrounds,35.128,35.128,38.237
2011,4,Margaret River Bushfires,Margaret River,53.45,53.45,57.306
2011,4,Christmas Day Storms,Melbourne,728.64,728.64,781.207
2012,1,Flooding,SW QLD,131.432,131.432,140.773
2012,1,Flooding,"NSW , VIC",131.89,131.89,141.264
2013,1,Bushfire,TAS,89.0,89.0,92.998
2013,1,Bushfire,Coonabarabran,35.0,35.0,36.572
2013,1,"Inundation , Storms",QLD,977.0,977.0,1020.889
2013,1,"Inundation , Storms",Northern NSW,121.3,121.3,126.749
2013,4,Bushfires,NSW (various locations),183.4,183.4,187.25
2014,1,Bushfires,Perth,15.0,15.0,15.228
2014,2,Cyclone,QLD,8.4,8.4,8.487
